Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2020,FL,Florida,Hardee,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,73.8,,,71.3,76.1,25425,12049,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-81.8215798 27.4928458),45
2020,FL,Florida,Gulf,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,73,,,69.8,76.0,14363,12045,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-85.2720125 29.8592383),1103
2020,FL,Florida,Polk,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,13.5,,,9.5,18.0,753520,12105,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-81.6935336 27.9536488),1082
2020,FL,Florida,Holmes,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,37.6,,,36.0,39.0,19784,12059,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-85.8159385 30.8620072),1108
2020,FL,Florida,Suwannee,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,66.9,,,62.9,70.9,44485,12121,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-82.9927542 30.1892438),1089
2020,FL,Florida,Orange,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,71.3,,,68.1,74.0,1422746,12095,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-81.3232839 28.5143906),1078
2020,FL,Florida,Indian River,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,11.1,,,7.1,16.0,163662,12061,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-80.5747894 27.7005283),1109
2020,FL,Florida,Monroe,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,40.4,,,33.6,47.5,82170,12087,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-81.0226025 25.5861198),51
2020,FL,Florida,Indian River,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,68.2,,,63.4,72.5,163662,12061,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-80.5747894 27.7005283),1109
2020,FL,Florida,Charlotte,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,60.5,,,56.9,64.1,194843,12015,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-82.0036572 26.9063964),1055
2020,FL,Florida,Volusia,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,74.2,,,71.9,76.6,564412,12127,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-81.161792 29.057769),1091
2020,FL,Florida,Wakulla,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,56.9,,,53.2,60.3,34690,12129,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-84.3591114 30.0913354),1092
2020,FL,Florida,Hamilton,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,68.9,,,66.5,71.3,13993,12047,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-82.9510714 30.4911868),1104
2020,FL,Florida,Hendry,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,24.6,,,20.3,29.2,40313,12051,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-81.1521142 26.539967),1105
2020,FL,Florida,Madison,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,73.7,,,70.6,76.7,18288,12079,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-83.4704159 30.4472325),1116
2020,FL,Florida,Gulf,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,14.4,,,9.8,19.3,14363,12045,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-85.2720125 29.8592383),1103
2020,FL,Florida,Levy,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,51.3,,,47.6,54.8,44158,12075,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-82.831233 29.2718541),1115
2020,FL,Florida,Okaloosa,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,12,,,7.7,17.1,213255,12091,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-86.5910804 30.6143245),1076
2020,FL,Florida,Hillsborough,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,81.6,,,79.7,83.4,1478194,12057,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-82.3744173 27.8876095),1107
2020,FL,Florida,Sumter,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,77.3,,,73.3,80.9,135638,12119,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-82.0699524 28.7154442),1088
2020,FL,Florida,Putnam,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,37.1,,,29.8,44.4,74167,12107,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-81.7320389 29.5938964),53
2020,FL,Florida,Baker,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,69.2,,,64.7,73.5,28715,12003,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-82.3022838 30.3244416),1051
2020,FL,Florida,Flagler,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,12.6,,,8.6,17.1,120932,12035,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-81.2862532 29.4748909),1099
2020,FL,Florida,Dixie,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,44.3,,,40.7,47.9,17102,12029,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-83.2362319 29.5526748),1097
2020,FL,Florida,Hendry,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,35.6,,,34.5,36.6,40313,12051,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-81.1521142 26.539967),1105
2020,FL,Florida,Pinellas,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,11.9,,,7.7,16.9,956615,12103,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-82.7980663 27.9053425),1081
2020,FL,Florida,Columbia,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,34.7,,,28.2,41.6,70385,12023,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-82.6233712 30.2216509),1096
2020,FL,Florida,Duval,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,35.9,,,34.7,37.0,999935,12031,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-81.6481132 30.3352449),1098
2020,FL,Florida,St. Lucie,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,56.6,,,53.7,59.5,343579,12111,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-80.4435357 27.3798137),1084
2020,FL,Florida,Hernando,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,67,,,62.6,71.2,200638,12053,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-82.5259685 28.5559951),1106
2020,FL,Florida,Lafayette,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,33.2,,,25.3,41.5,8382,12067,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-83.1785097 29.9900661),47
2020,FL,Florida,Gadsden,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,76,,,73.8,77.9,43714,12039,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-84.6126072 30.5786866),1101
2020,FL,Florida,Osceola,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,74.9,,,71.9,77.6,403282,12097,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-81.1393116 28.0590267),1079
2020,FL,Florida,Holmes,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,31.9,,,25.9,38.6,19784,12059,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-85.8159385 30.8620072),1108
2020,FL,Florida,Indian River,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,80.8,,,77.9,83.3,163662,12061,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-80.5747894 27.7005283),1109
2020,FL,Florida,Bradford,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,45.4,,,42.0,49.0,28540,12007,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-82.1666983 29.9523863),1052
2020,FL,Florida,Franklin,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,16.9,,,11.5,23.1,12572,12037,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-84.8152135 29.6777939),
2020,FL,Florida,Lee,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,73,,,69.2,76.7,787976,12071,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-81.9841817 26.5632731),1113
2020,FL,Florida,Lee,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,65.2,,,61.8,68.3,787976,12071,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-81.9841817 26.5632731),1113
2020,FL,Florida,Gilchrist,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,69.1,,,64.6,73.7,18360,12041,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-82.7958011 29.7234556),44
2020,FL,Florida,Collier,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,69.6,,,66.9,72.3,385980,12021,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-81.4009553 26.118786),1057
2020,FL,Florida,Bay,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,34.4,,,28.2,40.7,179168,12005,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-85.5343954 30.1591402),40
2020,FL,Florida,Highlands,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,38.3,,,37.2,39.6,103296,12055,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-81.3423534 27.3410799),46
2020,FL,Florida,Miami-Dade,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,29.8,,,24.7,35.3,2662777,12086,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-80.5037495 25.6160085),1074
2020,FL,Florida,Lake,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,50.1,,,42.4,57.7,395804,12069,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-81.7122822 28.7641128),1112
2020,FL,Florida,Columbia,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,47.9,,,44.5,51.2,70385,12023,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-82.6233712 30.2216509),1096
2020,FL,Florida,Columbia,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,15.6,,,11.5,20.4,70385,12023,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-82.6233712 30.2216509),1096
2020,FL,Florida,Union,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,77.8,,,75.1,80.6,16335,12125,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-82.366918 30.0542796),1090
2020,FL,Florida,Putnam,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,71.2,,,66.9,75.0,74167,12107,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-81.7320389 29.5938964),53
2020,FL,Florida,Gadsden,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,18.9,,,14.2,23.9,43714,12039,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-84.6126072 30.5786866),1101
2020,FL,Florida,Manatee,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,36.9,,,29.8,44.5,412703,12081,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-82.3931438 27.4755558),49
2020,FL,Florida,DeSoto,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,22.3,,,16.4,28.5,34408,12027,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-81.8062531 27.1905809),3104
2020,FL,Florida,St. Johns,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,8.3,,,5.0,12.2,292466,12109,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-81.4000404 29.8904875),1083
2020,FL,Florida,Okeechobee,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,67.4,,,64.7,70.0,40266,12093,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-80.8873884 27.3855924),1077
2020,FL,Florida,Jefferson,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,51.7,,,48.1,55.6,14555,12065,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-83.9217606 30.396898),1111
2020,FL,Florida,Sumter,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,82.1,,,79.6,84.4,135638,12119,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-82.0699524 28.7154442),1088
2020,FL,Florida,Hardee,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,67,,,63.2,70.6,25425,12049,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-81.8215798 27.4928458),45
2020,FL,Florida,Baker,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,51.1,,,47.5,54.5,28715,12003,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-82.3022838 30.3244416),1051
2020,FL,Florida,Escambia,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,12,,,8.6,16.0,322390,12033,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-87.3203222 30.5299979),43
2020,FL,Florida,Walton,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,73.4,,,70.4,76.1,80069,12131,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-86.162798 30.5712465),1093
2020,FL,Florida,Brevard,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,69.9,,,66.9,72.5,616628,12009,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-80.7003334 28.2983112),1053
2020,FL,Florida,Okeechobee,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,50.7,,,47.6,53.9,40266,12093,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-80.8873884 27.3855924),1077
2020,FL,Florida,Duval,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,13.1,,,9.3,17.3,999935,12031,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-81.6481132 30.3352449),1098
2020,FL,Florida,Sarasota,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,72.4,,,68.1,76.3,447057,12115,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-82.4237137 27.2253265),1086
2020,FL,Florida,Pasco,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,12.2,,,7.9,16.7,584067,12101,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-82.5110062 28.3098227),1080
2020,FL,Florida,Duval,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,72.8,,,70.7,75.1,999935,12031,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-81.6481132 30.3352449),1098
2020,FL,Florida,Palm Beach,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,12.1,,,7.6,17.0,1497987,12099,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-80.4483542 26.6491257),52
2020,FL,Florida,Washington,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,46.5,,,43.1,50.3,25436,12133,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-85.6558052 30.6021017),55
2020,FL,Florida,Seminole,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,72.6,,,69.2,75.9,470093,12117,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-81.1319751 28.6900648),1087
2020,FL,Florida,Glades,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,20,,,14.4,26.0,12234,12043,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-81.1908197 26.9548102),1102
2020,FL,Florida,Putnam,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,77.4,,,74.9,80.0,74167,12107,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-81.7320389 29.5938964),53
2020,FL,Florida,St. Lucie,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,72.1,,,68.8,75.4,343579,12111,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-80.4435357 27.3798137),1084
2020,FL,Florida,Clay,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,55.5,,,52.1,58.7,222361,12019,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-81.8650364 29.9865835),42
2020,FL,Florida,Polk,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,72.8,,,69.5,75.9,753520,12105,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-81.6935336 27.9536488),1082
2020,FL,Florida,Martin,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,80.6,,,77.3,83.3,159942,12085,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-80.3982011 27.0836036),1117
2020,FL,Florida,Orange,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,11.8,,,8.8,15.3,1422746,12095,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-81.3232839 28.5143906),1078
2020,FL,Florida,DeSoto,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,45.6,,,42.5,48.8,34408,12027,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-81.8062531 27.1905809),3104
2020,FL,Florida,Jackson,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,38,,,31.9,44.3,47694,12063,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-85.2088141 30.7892485),1110
2020,FL,Florida,Nassau,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,60.2,,,56.1,64.0,94189,12089,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-81.7650867 30.6059629),1075
2020,FL,Florida,Sarasota,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,68.1,,,64.3,71.7,447057,12115,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-82.4237137 27.2253265),1086
2020,FL,Florida,Dixie,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,18.3,,,13.2,23.6,17102,12029,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-83.2362319 29.5526748),1097
2020,FL,Florida,Charlotte,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,42.9,,,35.5,50.4,194843,12015,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-82.0036572 26.9063964),1055
2020,FL,Florida,Gulf,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,72.2,,,68.1,76.5,14363,12045,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-85.2720125 29.8592383),1103
2020,FL,Florida,Okeechobee,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,35.1,,,33.9,36.2,40266,12093,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-80.8873884 27.3855924),1077
2020,FL,Florida,Pinellas,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,41.1,,,33.9,48.6,956615,12103,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-82.7980663 27.9053425),1081
2020,FL,Florida,Wakulla,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,43.4,,,35.7,50.9,34690,12129,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-84.3591114 30.0913354),1092
2020,FL,Florida,Pasco,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,68.3,,,65.5,71.3,584067,12101,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-82.5110062 28.3098227),1080
2020,FL,Florida,Suwannee,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,79.5,,,76.8,82.1,44485,12121,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-82.9927542 30.1892438),1089
2020,FL,Florida,Collier,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,10.7,,,6.5,16.2,385980,12021,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-81.4009553 26.118786),1057
2020,FL,Florida,Taylor,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,77.9,,,75.3,80.3,21815,12123,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-83.6395729 29.967146),54
2020,FL,Florida,Suwannee,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,32.4,,,26.4,38.7,44485,12121,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-82.9927542 30.1892438),1089
2020,FL,Florida,Volusia,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,37,,,30.8,43.1,564412,12127,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-81.161792 29.057769),1091
2020,FL,Florida,Clay,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,39.2,,,31.8,46.5,222361,12019,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-81.8650364 29.9865835),42
2021,NY,New York,Saratoga,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.7,,,2.3,3.1,237359,36091,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-73.8553872 43.1061353),2141
2021,NY,New York,Lewis,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,43.2,,,38.5,48.2,26573,36049,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-75.4441402 43.7826811),623
2020,NY,New York,Oswego,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,62.2,,,58.2,66.1,117387,36075,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-76.2092618 43.4614431),2135
2021,NY,New York,Hamilton,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,31.8,,,27.1,36.5,5119,36041,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-74.5024556 43.6578786),622
2020,NY,New York,Ulster,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,75.7,,,73.1,78.4,182951,36111,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-74.2654582 41.9472124),2182
2021,NY,New York,New York,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,24.6,,,22.8,26.6,1576876,36061,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-73.9701871 40.7766419),2095
2021,NY,New York,Orleans,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,26.7,,,23.3,30.2,40191,36073,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-78.2070281 43.3399059),626
